URL,Category,Type of ad,Reference,Make,Model,Status,Power,Front Tire Dimension,Front Tire Wear,Rear Tire Wear,Spare Parts Availability,Price (excl. VAT),Displayed Price,Reference Price,Reference Currency,VAT Info,Dealer,Location,Phone Number,Comments
https://www.agriaffaires.co.uk/used/farm-tractor/44212922/john-deere-6215r.html,Farm Tractors,For sale / Offers,,John Deere,6215R,Used - Not indicated,215,540/65R30 650/65R42,N/A,N/A,N/A,,"117,950
                            
                                    117,950 ££ ",117950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45086234/john-deere-6100m.html,Farm Tractors,For sale / Offers,51099348,John Deere,6100M,Used - very good condition,100,,N/A,N/A,N/A,,"45,000
                            
                                    45,000 ££ ",45000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/new/farm-tractor/44840553/massey-ferguson-8s-245-dyna-7-efficient.html,Farm Tractors,For sale / Offers,AG 21020680,Massey Ferguson,8S.245 Dyna 7 Efficient,New - shopsoiled,,,,,N/A,,"129,000
                            
                                    129,000 ££ ",129000,GBP,,Crawford Group,"Mr.
                Dave Redford",490aa01b33b8485eb411bb3c7804f52KCs0NCkgMDc5NzAyNDgxMTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/43491365/john-deere-6250r.html,Farm Tractors,For sale / Offers,91036226 91036226,John Deere,6250R,Used - Not indicated,250,,N/A,N/A,N/A,,"96,000
                            
                                    96,000 ££ ",96000,GBP,,Hunt Forest Group,"United Kingdom, South East England",2aff3cd845ccf52991211e00245c610KCs0NCkgMDE5ODA2MjExMTQ=,
https://www.agriaffaires.co.uk/used/farm-tractor/45195729/john-deere-5090gv.html,Farm Tractors,For sale / Offers,,John Deere,5090GV,Used - Not indicated,90,320/85R24 260/70R16,N/A,N/A,N/A,,"29,950
                            
                                    29,950 ££ ",29950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44364016/massey-ferguson-8s265.html,Farm Tractors,For sale / Offers,Massey Ferguson 8s.265 Dyna 7,Massey Ferguson,8S265,Used - very good condition,,,90%,90%,N/A,,"115,000
                            
                                    115,000 ££ ",115000,GBP,,B&B Tractors,"Mrs
                Lauren Cope",2b7265eaf1cda18ab8f8919f723e85bKCs0NCkgNzQ4MzEyMjE5Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45086241/john-deere-6155r.html,Farm Tractors,For sale / Offers,81086461,John Deere,6155R,Used - good condition,155,,N/A,N/A,N/A,,"46,000
                            
                                    46,000 ££ ",46000,GBP,,DOUBLEDAY GROUP,"Mr.
                Ashley Ashley Brighton 07769226685",624216a9a6305d9393f9a1dbac3bb19KCs0NCkgMDE0MDY1NDAyNjE=,
https://www.agriaffaires.co.uk/used/farm-tractor/44564197/john-deere-6r-185.html,Farm Tractors,For sale / Offers,,John Deere,6R 185,Used - very good condition,185,480/7030R,90%,90%,N/A,,"119,950
                            
                                    119,950 ££ ",119950,GBP,,G S BROWN LTD,"Mr.
                Geoffrey BROWN",3de82e2a30dd3cac462102bb6098579KCs0NCkgNzc4NTMzMzg5Mw==,
https://www.agriaffaires.co.uk/used/farm-tractor/44268563/john-deere-6215r.html,Farm Tractors,For sale / Offers,21077531,John Deere,6215R,Used - good condition,215,,N/A,N/A,N/A,,"104,500
                            
                                    104,500 ££ ",104500,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45089831/john-deere-6155r.html,Farm Tractors,For sale / Offers,,John Deere,6155R,Used - very good condition,155,540/65R30,80%,80%,N/A,,"79,950
                            
                                    79,950 ££ ",79950,GBP,,G S BROWN LTD,"Mr.
                Geoffrey BROWN",3de82e2a30dd3cac462102bb6098579KCs0NCkgNzc4NTMzMzg5Mw==,
https://www.agriaffaires.co.uk/used/farm-tractor/44786390/john-deere-6r-155.html,Farm Tractors,For sale / Offers,,John Deere,6R 155,Used - Not indicated,155,540/65R30 650/65R42,N/A,N/A,N/A,,"119,950
                            
                                    119,950 ££ ",119950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45243968/john-deere-6130r.html,Farm Tractors,For sale / Offers,,John Deere,6130R,Used - Not indicated,130,480/64R24 540/65R38,N/A,N/A,N/A,,"69,950
                            
                                    69,950 ££ ",69950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45143043/john-deere-6195r.html,Farm Tractors,For sale / Offers,,John Deere,6195R,Used - Not indicated,195,600/65R28 650/75R38,N/A,N/A,N/A,,"56,750
                            
                                    56,750 ££ ",56750,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44887264/massey-ferguson-1740.html,Farm Tractors,For sale / Offers,,Massey Ferguson,1740,Used - very good condition,,,65%,65%,N/A,,"24,500
                            
                                    24,500 ££ ",24500,GBP,,B&B Tractors,"Mrs
                Lauren Cope",2b7265eaf1cda18ab8f8919f723e85bKCs0NCkgNzQ4MzEyMjE5Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45186681/john-deere-8r-370.html,Farm Tractors,For sale / Offers,41047404 41047404,John Deere,8R 370,Used - Not indicated,370,,N/A,N/A,N/A,,"215,000
                            
                                    215,000 ££ ",215000,GBP,,Hunt Forest Group,"United Kingdom, South East England",2aff3cd845ccf52991211e00245c610KCs0NCkgMDE5ODA2MjExMTQ=,
https://www.agriaffaires.co.uk/used/farm-tractor/45380887/mc-cormick-xtx-165.html,Farm Tractors,For sale / Offers,,Mc Cormick,XTX 165,Used - good condition,,420/85R28,90%,90%,N/A,,"  ",,,,G.M. STEPHENSON,"United Kingdom, Yorkshire and the Humber",d65312d189379444e3624fdbbcf4a7bKCs0NCkgMTcyMzg5MTQ4Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/44911341/john-deere-6215r.html,Farm Tractors,For sale / Offers,11085344,John Deere,6215R,Used - very good condition,215,,N/A,N/A,N/A,,"100,000
                            
                                    100,000 ££ ",100000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45392544/david-brown-885.html,Farm Tractors,For sale / Offers,,David Brown,885,Used - Not indicated,,,0% (Smooth tyre),N/A,N/A,,"4,000
                            
                                    4,000 ££ ",4000,GBP,,Oakfields Ag,"Mr.
                Terry Brock",40bd3e74ac338889e19a0057bee4f32KCs0NCkgMTc2Mzc4MDQ0MA==,
https://www.agriaffaires.co.uk/used/farm-tractor/44438487/valtra-t152-4wd-tractor-c-w-front-linkage.html,Farm Tractors,For sale / Offers,ALBHW059787A,Valtra,T152 4wd Tractor c/w Front Linkage,Used - good condition,,,40%,65%,N/A,,"28,950
                            
                                    28,950 ££ ",28950,GBP,,Agri-Linc,"Mr.
                Derry Morton",5d68cb31cd884da0b2e804c59f16176KCs0NCkgMTc3ODU5MTIyNQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45189283/john-deere-5075e.html,Farm Tractors,For sale / Offers,11096376,John Deere,5075E,Used - Not indicated,75,,N/A,N/A,N/A,,"38,750
                            
                                    38,750 ££ ",38750,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45265413/john-deere-6r-165.html,Farm Tractors,For sale / Offers,,John Deere,6R 165,Used - Not indicated,165,650/65R42 540/65R30,N/A,N/A,N/A,,"118,750
                            
                                    118,750 ££ ",118750,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44942015/massey-ferguson-6613.html,Farm Tractors,For sale / Offers,A1092845,Massey Ferguson,6613,Used - very good condition,130,,N/A,N/A,N/A,,"30,000
                            
                                    30,000 ££ ",30000,GBP,,DOUBLEDAY GROUP,"Mr.
                Ashley Ashley Brighton 07769226685",624216a9a6305d9393f9a1dbac3bb19KCs0NCkgMDE0MDY1NDAyNjE=,
https://www.agriaffaires.co.uk/used/farm-tractor/45298124/john-deere-9620rx.html,Farm Tractors,For sale / Offers,,John Deere,9620RX,Used - Not indicated,620,30 Inch Tracks,N/A,N/A,N/A,,"  ",,,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44853006/john-deere-6r-130.html,Farm Tractors,For sale / Offers,,John Deere,6R 130,Used - Not indicated,130,540/65R24 600/65R38,N/A,N/A,N/A,,"109,950
                            
                                    109,950 ££ ",109950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45274059/john-deere-6r250.html,Farm Tractors,For sale / Offers,B1025727,John Deere,6R250,Used - Not indicated,250,,N/A,N/A,N/A,,"  ",,,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45350961/john-deere-6r-155.html,Farm Tractors,For sale / Offers,,John Deere,6R 155,Used - Not indicated,155,650/65R38 540/65R28,N/A,N/A,N/A,,"114,950
                            
                                    114,950 ££ ",114950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45343858/case-ih-puma-cvx-240.html,Farm Tractors,For sale / Offers,,Case IH,PUMA CVX 240,Used - good condition,,,25%,40%,N/A,,"69,000
                            
                                    69,000 ££ ",69000,GBP,,Spectinga Ltd,"Mr.
                Bertie Wilson",55bb2bbf0ecb76228ee4e3bd3c297c2KCs0NCkgNzc4MjMzMDk1Ng==,
https://www.agriaffaires.co.uk/used/farm-tractor/45000418/fendt-724-profi.html,Farm Tractors,For sale / Offers,,Fendt,724 Profi+,Used - Not indicated,,,N/A,N/A,N/A,,"139,000
                            
                                    139,000 ££ ",139000,GBP,,Wilfred Scrutons,"Mr.
                James Falkingham",42f96adb9c783424fdaa8362400bb38KCs0NCkgMTI2MjQ3MDIxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44700980/mc-cormick-x7-680.html,Farm Tractors,For sale / Offers,,Mc Cormick,X7.680,Used - very good condition,212,30,100% (New tyre),50%,N/A,,"  ",,,,CAM TRAC LTD,"Mr.
                ciaran campbell",6e7b470f4a9dc79c45b3e15aaf55cf3KCs0NCkgMDc3ODk2ODc1ODg=,
https://www.agriaffaires.co.uk/used/farm-tractor/45340922/john-deere-6430-premium.html,Farm Tractors,For sale / Offers,,John Deere,6430 Premium,Used - Not indicated,120,540/65R24 600/65R38,N/A,N/A,N/A,,"37,950
                            
                                    37,950 ££ ",37950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44091532/massey-ferguson-5613-dyna-4.html,Farm Tractors,For sale / Offers,31080426,Massey Ferguson,5613 DYNA 4,Used - good condition,130,440/65/R28,30%,40%,N/A,,"39,950
                            
                                    39,950 ££ ",39950,GBP,,Carrs Billington Agricultre (Sales) Ltd,"Mr.
                Ben Parkinson",36555d1f774856b745ffba3f69c8ae9KCs0NCkgMDc5Nzc4NTIwOTA=,
https://www.agriaffaires.co.uk/used/farm-tractor/45172484/john-deere-6r-155.html,Farm Tractors,For sale / Offers,,John Deere,6R 155,Used - Not indicated,155,VF600/65R28 VF650/65R42,N/A,N/A,N/A,,"117,500
                            
                                    117,500 ££ ",117500,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45191136/john-deere-8r-410.html,Farm Tractors,For sale / Offers,,John Deere,8R 410,Used - Not indicated,410,IF650/60R34 IF900/60R42,N/A,N/A,N/A,,"  ",,,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45368834/massey-ferguson-4260.html,Farm Tractors,For sale / Offers,,Massey Ferguson,4260,Used - very good condition,106,R28,95%,25%,,,"24,000
                            
                                    24,000 ££ ",24000,GBP,,,"Mr.
                Patrick McDermott",bbe461ca3006ecbde91bc20c626f2bbKCs0NCkgMzUzODcxMjc0NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/45391367/valtra-t174v-tractor.html,Farm Tractors,For sale / Offers,61056669,Valtra,T174V TRACTOR,Used - very good condition,,,N/A,N/A,N/A,,"  ",,,,THURLOW NUNN STANDEN LTD,"Mr.
                James Clark",c829e86fb37f6e21b3a9214f3908f5dKCs0NCkgMTM5NDM4MjgwMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44459048/john-deere-6155r.html,Farm Tractors,For sale / Offers,,John Deere,6155R,Used - Not indicated,155,540/65R30 650/65R42,N/A,N/A,N/A,,"87,950
                            
                                    87,950 ££ ",87950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44091661/massey-ferguson-5710m.html,Farm Tractors,For sale / Offers,91078811,Massey Ferguson,5710M,Used - good condition,110,440/65/R24,40%,50%,N/A,,"42,500
                            
                                    42,500 ££ ",42500,GBP,,Carrs Billington Agricultre (Sales) Ltd,"Mr.
                Stuart PRINGLE",deadb678982b08dcf0fb0220c02e6eaKCs0NCkgMTIyODU1MjYxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45145385/john-deere-6155r.html,Farm Tractors,For sale / Offers,,John Deere,6155R,Used - Not indicated,155,Michelin 540/65R30 650/65R42,N/A,N/A,N/A,,"89,950
                            
                                    89,950 ££ ",89950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44885751/john-deere-6230.html,Farm Tractors,For sale / Offers,T5342,John Deere,6230,Used - good condition,,380/85x24,40%,40%,N/A,,"18,950
                            
                                    18,950 ££ ",18950,GBP,,Michael Burdge Ltd,Michael BURDGE,661d26ffcdc277c67bdaeb221f6d3d4KCs0NCkgMTkzNDgzODM4NQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45392222/john-deere-6155m.html,Farm Tractors,For sale / Offers,21141913,John Deere,6155M,Used - Not indicated,,,N/A,N/A,N/A,,"65,000
                            
                                    65,000 ££ ",65000,GBP,,Ripon Farm Services,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/44091882/massey-ferguson-6715s.html,Farm Tractors,For sale / Offers,51082760,Massey Ferguson,6715S,Used - very good condition,150,480/70R28,70%,70%,N/A,,"78,000
                            
                                    78,000 ££ ",78000,GBP,,Carrs Billington Agriculture,"Mr.
                Stuart PRINGLE",deadb678982b08dcf0fb0220c02e6eaKCs0NCkgMTIyODU1MjYxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44786387/john-deere-8rx410.html,Farm Tractors,For sale / Offers,81088470,John Deere,8RX410,Used - Not indicated,410,,N/A,N/A,N/A,,"382,000
                            
                                    382,000 ££ ",382000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45353397/john-deere-6175m.html,Farm Tractors,For sale / Offers,,John Deere,6175M,Used - very good condition,,540/65R30,90%,90%,N/A,,"  ",,,,G.M. STEPHENSON,"United Kingdom, Yorkshire and the Humber",d65312d189379444e3624fdbbcf4a7bKCs0NCkgMTcyMzg5MTQ4Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/44768888/john-deere-6215r.html,Farm Tractors,For sale / Offers,,John Deere,6215R,Used - Not indicated,215,710/70R42 600/70R28,N/A,N/A,N/A,,"104,950
                            
                                    104,950 ££ ",104950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/45367609/john-deere-9530.html,Farm Tractors,For sale / Offers,,John Deere,9530,Used - Not indicated,475,620/70 R42,70%,70%,N/A,,"  ",,,,Mitchams/TGM Agricultural Machinery,"Mr.
                Thomas Mitcham",ff23e62316628beeefc6e5eb9207bf4KCs0NCkgMDc3MTk0MDM0NDY=,
https://www.agriaffaires.co.uk/used/farm-tractor/44911418/john-deere-6r250.html,Farm Tractors,For sale / Offers,B1025729,John Deere,6R250,Used - very good condition,250,,N/A,N/A,N/A,,"160,000
                            
                                    160,000 ££ ",160000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45081544/massey-ferguson-35.html,Farm Tractors,For sale / Offers,18798z,Massey Ferguson,35,Used - good condition,,,N/A,N/A,N/A,,"4,250
                            
                                    4,250 ££ ",4250,GBP,,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/44625607/massey-ferguson-5712s.html,Farm Tractors,For sale / Offers,B1083894,Massey Ferguson,5712S,Used - good condition,120,340/85 R28,15%,20%,N/A,,"45,000
                            
                                    45,000 ££ ",45000,GBP,,Carrs Billington Agriculture,"Mr.
                Stuart PRINGLE",deadb678982b08dcf0fb0220c02e6eaKCs0NCkgMTIyODU1MjYxMQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44941983/john-deere-6155r.html,Farm Tractors,For sale / Offers,81095875,John Deere,6155R,Used - very good condition,155,,N/A,N/A,N/A,,"50,000
                            
                                    50,000 ££ ",50000,GBP,,DOUBLEDAY GROUP,"Mr.
                Ashley Ashley Brighton 07769226685",624216a9a6305d9393f9a1dbac3bb19KCs0NCkgMDE0MDY1NDAyNjE=,
https://www.agriaffaires.co.uk/used/farm-tractor/45391371/massey-ferguson-mf5711m-d4ces-tractor.html,Farm Tractors,For sale / Offers,61022018,Massey Ferguson,MF5711M D4CES TRACTOR,Used - very good condition,0,,N/A,N/A,N/A,,"42,000
                            
                                    42,000 ££ ",42000,GBP,,Peacock and Binnington,"Mr.
                Jack Matthews",a4dd00cd102b3aa5812dae2eaec893aKCs0NCkgMTk2NDYxNDIzMw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45269539/john-deere-5075e.html,Farm Tractors,For sale / Offers,F1131793,John Deere,5075E,Used - Not indicated,75,,N/A,N/A,N/A,,"  ",,,,Ripon Farm Services,"Mr.
                Richard Wainwright",b6dbc863fc8b2658238ddc8f3bbbd6fKCs0NCkgNzg3OTk1NjM5NA==,
https://www.agriaffaires.co.uk/used/farm-tractor/44961243/john-deere-8rx410.html,Farm Tractors,For sale / Offers,91091772,John Deere,8RX410,Used - very good condition,410,,N/A,N/A,N/A,,"260,000
                            
                                    260,000 ££ ",260000,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/44700975/massey-ferguson-7616-dyna-6.html,Farm Tractors,For sale / Offers,,Massey Ferguson,7616 Dyna 6,Used - very good condition,160,,40%,20%,N/A,,"  ",,,,CAM TRAC LTD,"Mr.
                ciaran campbell",6e7b470f4a9dc79c45b3e15aaf55cf3KCs0NCkgMDc3ODk2ODc1ODg=,
https://www.agriaffaires.co.uk/used/farm-tractor/42332637/massey-ferguson-590.html,Farm Tractors,For sale / Offers,,Massey Ferguson,590,Used - average condition,80,,20%,10%,N/A,,"  ",,,,Nephin Tractors & Machinery,Colm MOYLES,64670141ff5cc753ee4fe5c55f4ac0bKCszNTMpIDg3NjgwNjU0MA==,
https://www.agriaffaires.co.uk/used/farm-tractor/43530808/john-deere-6155r.html,Farm Tractors,For sale / Offers,,John Deere,6155R,Used - very good condition,155,540/65/28,80%,80%,N/A,,"75,000
                            
                                    75,000 ££ ",75000,GBP,,HARRISON TRACTORS LTD,"Mr.
                James HARRISON",fe09520a7c01b1b6ced975610c70371KCs0NCkgNzc2ODE3MTA4NQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45169498/john-deere-6175r.html,Farm Tractors,For sale / Offers,31098964,John Deere,6175R,Used - good condition,175,,N/A,N/A,N/A,,"58,500
                            
                                    58,500 ££ ",58500,GBP,,BEN BURGESS & CO.,"Mr.
                Will Tunmore-Clarke",6518a50aaaa7ad93aeeeeba0d1523abKCs0NCkgMTYwMzYyODI1MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45253217/john-deere-6155m.html,Farm Tractors,For sale / Offers,41041297,John Deere,6155M,Used - Not indicated,0,,N/A,N/A,N/A,,"89,950
                            
                                    89,950 ££ ",89950,GBP,,Hunt Forest Group,"United Kingdom, South East England",2aff3cd845ccf52991211e00245c610KCs0NCkgMDE5ODA2MjExMTQ=,
https://www.agriaffaires.co.uk/used/farm-tractor/45367133/deutz-fahr-agrotron-m620.html,Farm Tractors,For sale / Offers,,Deutz-Fahr,AGROTRON M620,Used - good condition,,480/70R28,20%,70%,N/A,,"29,950
                            
                                    29,950 ££ ",29950,GBP,,G.M. STEPHENSON,"United Kingdom, Yorkshire and the Humber",d65312d189379444e3624fdbbcf4a7bKCs0NCkgMTcyMzg5MTQ4Nw==,
https://www.agriaffaires.co.uk/used/farm-tractor/45367168/john-deere-6130r.html,Farm Tractors,For sale / Offers,20360,John Deere,6130R,Used - good condition,,,N/A,N/A,N/A,,"42,500
                            
                                    42,500 ££ ",42500,GBP,,Graham Holland LTD,"Mr.
                Frank Holland",50c9d2da210b77e08eb6981e8c6bb12KCs0NCkgMDE5MzU4NDEzMDc=,
https://www.agriaffaires.co.uk/used/farm-tractor/45366174/john-deere-6170r.html,Farm Tractors,For sale / Offers,6479,John Deere,6170R,Used - very good condition,,480/70x30,0% (Smooth tyre),0% (Smooth tyre),N/A,,"32,000
                            
                                    32,000 ££ ",32000,GBP,,MARK HELLIER TRACTORS SE Ltd,"Mr.
                Mark HELLIER",56c8b09744b2f595a96925b9088699cKCs0NCkgMTU4MDI5MTI3MQ==,
https://www.agriaffaires.co.uk/used/farm-tractor/45375493/john-deere-6r-130.html,Farm Tractors,For sale / Offers,,John Deere,6R 130,Used - Not indicated,130,600/65R38 540/65R24,N/A,N/A,N/A,,"97,950
                            
                                    97,950 ££ ",97950,GBP,,Farol Ltd,Guy CHAMPION,03412c1026d7603d092faad4347f32bKCs0NCkgMDE4NDQyNzg4NDM=,
https://www.agriaffaires.co.uk/used/farm-tractor/44727653/massey-ferguson-6s-180.html,Farm Tractors,For sale / Offers,11013111,Massey Ferguson,6S.180,Used - Not indicated,,,N/A,N/A,N/A,,"  ",,,,Crawford Group,"Mr.
                Dave Redford",490aa01b33b8485eb411bb3c7804f52KCs0NCkgMDc5NzAyNDgxMTY=,
https://www.agriaffaires.co.uk/used/farm-tractor/45395030/valtra-t215a.html,Farm Tractors,For sale / Offers,VA000107,Valtra,T215A,Used - very good condition,215,540/6530 F TM800,100% (New tyre),100% (New tyre),N/A,,"135,000
                            
                                    135,000 ££ ",135000,GBP,,CHANDLERS (FARM EQUIPMENT) LTD,Gavin PELL,6ed66cd381e6ddd6a17ccdecfca5830KCs0NCkgMDE0NzY1OTAwNzc=,
